time,symbol,alert_price,alert_name,alert_type,entry_price,ITM_contract,option_entry_price
2023-04-26 14:18:00,SPX,4058.97,SPX Bull Pivot Alert: $4058.61,Bull Pivot 1,4060.12,SPXW_042623C4055,8.77
2023-04-27 12:08:00,SPX,4105.55,SPX Bull Pivot Alert: $4105.55,Manual Bull Pivot,4106.16,SPXW_042723C4105,6.9
2023-04-27 13:11:00,SPX,4108.57,SPX Bull Pivot Alert: $4108.57,Manual Bull Pivot,4110.13,SPXW_042723C4105,8.1
2023-04-28 11:22:00,SPX,4147.67,SPX Bull Pivot Alert: $4147.67,Manual Bull Pivot,4148.53,SPXW_042823C4145,10.0
2023-05-03 10:49:00,SPX,4116.43,SPX Bull Pivot Alert: $4116.68,Bull Pivot 1,4118.38,SPXW_050323C4115,22.99
2023-05-03 11:24:00,SPX,4116.8,SPX Bull Pivot Alert: $4116.62,Bull Pivot 7,4118.81,SPXW_050323C4115,23.4
2023-05-03 13:53:00,SPX,4130.32,SPX Bull Pivot Alert: $4130.32,Manual Bull Pivot,4130.86,SPXW_050323C4130,18.6
2023-05-03 14:07:00,SPX,4123.72,SPX Bull Pivot Alert: $4123.72,Manual Bull Pivot,4129.81,SPXW_050323C4130,18.6
2023-05-03 14:48:00,SPX,4129.78,SPX Bull Pivot Alert: $4120.77,Bull Pivot 1,4131.86,SPXW_050323C4130,15.04
2023-05-04 09:54:00,SPX,4062.99,SPX Bull Pivot Alert: $4061.14,Bull Pivot 4,4066.25,SPXW_050423C4065,16.5
2023-05-04 10:37:00,SPX,4053.75,SPX Bull Pivot Alert: $4053.75,Manual Bull Pivot,4056.22,SPXW_050423C4050,14.6
2023-05-04 12:03:00,SPX,4051.73,SPX Bull Pivot Alert: $4051.73,Manual Bull Pivot,4052.49,SPXW_050423C4050,12.0
2023-05-04 12:46:00,SPX,4057.65,SPX Bull Pivot Alert: $4057.65,Manual Bull Pivot,4058.22,SPXW_050423C4060,9.1
2023-05-04 12:55:00,SPX,4059.06,SPX Bull Pivot Alert: $4059.1,Bull Pivot 4,4060.37,SPXW_050423C4060,10.1
