Date,Close,Volume,Open,High,Low,Range,prev_day_close,vix_open,vix_close,vix_range
2017-03-10,131.39,21892650,131.42,131.6,130.82,0.5944668851459503,131.61,11.97,11.66,5.35031847133757
2017-03-09,130.84,20839590,130.71,131.02,130.14,0.6739163731046285,131.39,11.75,12.3,6.73596673596674
2017-03-08,130.74,15755950,130.57,131.15,130.46,0.5275027713007895,130.84,11.49,11.86,6.710239651416118
2017-03-07,130.51,15483130,130.45,131.08,130.28,0.6121824303642572,130.74,11.27,11.45,4.774535809018577
2017-03-06,130.73,11996250,130.56,130.95,130.21,0.5667024046561348,130.51,11.59,11.24,5.794556628621598
2017-03-03,131.02,13713900,130.65,131.06,130.341,0.5501126621550753,130.73,11.96,10.96,8.991706678306425
2017-03-02,130.78,19942000,131.43,131.43,130.62,0.6182026330852908,131.02,12.43,11.81,11.568872243029551
2017-03-01,131.44,25776570,130.81,131.68,130.6,0.823547353972863,130.78,12.31,12.54,6.568144499178988
2017-02-28,130.02,16119750,130.39,130.45,129.66,0.6074353158279128,131.44,12.19,12.92,6.616181745715425
2017-02-27,130.42,11996190,130.02,130.43,129.8,0.48418706528839517,130.02,11.78,12.09,5.154203633291096
2017-02-24,130.26,18611880,129.47,130.26,129.38,0.6778616545986716,130.42,11.81,11.47,10.447137484329295
2017-02-23,130.01,17467450,130.7,130.7,129.49,0.9300895499442559,130.26,11.66,11.71,7.666666666666681
2017-02-22,130.5,12097690,130.32,130.59,130.111,0.36747078070280775,130.01,11.48,11.74,5.359421522756281
2017-02-21,130.45,18461390,130.03,130.53,129.99,0.41455550437585764,130.5,12.05,11.57,5.002119542178888
2017-02-17,129.81,15529590,129.09,129.82,129.04,0.6026423549408956,130.45,11.84,11.49,7.532797291578507
2017-02-16,129.25,15083610,129.36,129.63,128.92,0.5492167859214915,129.81,12.02,11.76,9.531568228105906
2017-02-15,129.29,17785000,128.44,129.35,128.37,0.760515287909351,129.25,10.84,11.97,10.60938185006575
2017-02-14,128.53,16309480,128.15,128.535,127.74,0.6204272753877684,129.29,11.17,10.74,5.527865881286809
2017-02-13,128.1,19108770,127.76,128.26,127.7199,0.42198625751474655,128.53,11.36,11.07,2.93724966622163
2017-02-10,127.38,13885550,127.2,127.56,127.02,0.42422814046665586,128.1,10.85,10.85,3.720930232558126
2017-02-09,126.96,17531660,126.63,127.24,126.56,0.5358550039401045,127.38,11.44,10.88,7.094746295464743
2017-02-08,126.5,12497080,126.12,126.68,125.88,0.6335128286347889,126.96,11.19,11.45,5.833696125380931
2017-02-07,126.29,17524530,126.06,126.55,125.97,0.4593695548867403,126.5,11.39,11.29,5.36735591728992
2017-02-06,125.83,11613660,125.42,125.85,125.35,0.3980891719745223,126.29,11.37,11.37,6.541648495420846
2017-02-03,125.68,16951050,125.49,125.81,125.33,0.38225690849725574,125.83,11.84,10.97,9.92907801418439
2017-02-02,125.32,15044230,125.21,125.7,124.86,0.6704980842911904,125.68,12.37,11.93,7.0568700705687135
2017-02-01,125.43,22784880,125.42,125.68,124.86,0.6545860940368862,125.32,11.79,11.81,18.89191643960036
2017-01-31,124.57,18928280,124.4,124.6,123.85,0.6037432078889113,125.43,12.29,11.99,9.685230024213084
