date,open,high,low,close,volume
9/19/00,97.0091,97.8029,96.7271,97.5731,6588200
9/20/00,97.3852,97.6149,95.6931,96.8525,6508100
9/21/00,96.5704,97.3016,95.338,95.3798,5972300
9/22/00,95.338,97.1345,95.2022,97.1136,7791300
9/25/00,97.5523,97.6358,96.0691,96.4243,9726300
9/26/00,96.5078,96.9256,95.1918,95.1918,5302400
9/27/00,95.9647,96.2362,95.0038,95.6931,7186200
9/28/00,95.714,97.8134,95.5156,96.9256,7036400
9/29/00,97.2389,97.5731,96.0065,96.0065,9333600
10/2/00,96.4451,96.8629,95.6827,96.1527,5517800
10/3/00,96.6122,97.4269,95.1082,95.2545,9347200
10/4/00,95.5051,96.4243,94.7531,96.0482,6148900
10/5/00,95.8602,96.8211,95.7976,96.3825,4566900
10/6/00,96.1736,96.6853,93.4162,94.2936,10014900
10/9/00,94.4607,94.4607,93.1655,93.5833,4508000
10/10/00,93.646,94.4189,92.0375,92.0375,6104700
10/11/00,91.9958,92.6642,90.3246,91.2646,10346000
10/12/00,91.7659,91.9748,88.7579,88.9877,12336900
10/13/00,88.8624,92.0166,88.8206,91.954,11778800
10/16/00,91.8495,92.403,91.3691,92.3718,5659000
10/17/00,92.5389,92.6224,89.8441,90.074,7831700
10/18/00,88.6535,90.9931,87.0032,89.7397,10897300
10/19/00,91.4735,93.2178,91.202,93.1238,8767300
10/20/00,92.4971,94.3771,92.4971,93.5206,7373500
10/23/00,93.5416,94.2726,92.8731,93.9384,5290000
10/24/00,94.2309,94.8785,92.9149,93.3117,5750700
10/25/00,92.7478,93.2909,90.9931,91.1184,9137600
10/26/00,91.6615,92.0166,89.5935,91.3691,9345800
10/27/00,92.1629,93.1029,91.3273,93.1029,9762900
10/30/00,92.5389,94.3144,92.3508,93.9384,10154100
10/31/00,94.2622,96.0482,93.6251,95.5573,7752400
11/1/00,95.0873,95.7558,94.398,95.2335,6753600
11/2/00,95.6931,96.1944,95.2649,95.3902,11395100
11/3/00,95.902,96.09,95.1709,95.4424,5187100
11/6/00,95.6931,96.4555,95.6095,96.1109,4042500
11/7/00,95.6827,96.2571,95.2962,96.09,5231300
11/8/00,96.2989,96.2989,93.9593,93.9593,6123300
11/9/00,93.5833,94.398,91.7451,93.6042,10635300
11/10/00,92.9149,93.2282,91.2646,91.3273,8569500
11/13/00,90.6589,91.5675,88.9146,90.6171,17285300
11/14/00,91.8913,93.3327,91.578,92.9984,7668900
11/15/00,92.9567,93.6564,92.0793,93.2909,8837700
11/16/00,92.6329,93.4998,91.7869,91.8286,6684100
11/17/00,91.7869,92.9149,90.7424,91.3377,6551100
11/20/00,90.7424,91.1602,89.7815,90.0322,5458500
11/21/00,90.1575,91.0349,89.2488,90.4917,7684300
11/22/00,89.8024,90.1575,88.3193,88.3297,5736900
11/24/00,89.3219,90.2201,89.3219,90.1366,3411600
11/27/00,91.2228,91.3691,90.45,90.9304,5992000
11/28/00,90.3246,91.3064,89.3324,89.3637,5336100
11/29/00,89.8233,90.8468,89.0817,89.1966,6914100
11/30/00,88.5699,89.2384,86.7317,88.4237,11201600
12/1/00,89.0295,89.6144,87.5673,88.3819,7587200
12/4/00,88.1522,89.4891,87.9015,89.1339,6996600
12/5/00,90.1575,92.4135,89.8441,92.0584,8883400
12/6/00,92.1002,92.4762,90.2619,90.5857,12888000
12/7/00,90.1575,90.826,89.3428,89.3428,6529100
12/8/00,91.6198,93.2282,89.4891,89.5517,10276300
12/11/00,91.8286,93.2909,91.3899,92.6642,6405600
12/12/00,92.3718,92.7895,91.8286,92.2673,5022900
12/13/00,93.082,93.1864,90.9304,91.0035,6070500
12/14/00,90.826,91.2437,89.5935,89.8441,7678400
12/15/00,89.267,89.267,87.5487,87.8211,9065300
12/18/00,88.5545,89.4974,88.3554,88.9945,7235400
12/19/00,88.8269,90.5033,87.182,87.182,9616600
12/20/00,86.2495,86.459,84.5521,84.6569,9994300
12/21/00,84.4893,86.4066,84.175,85.2437,14331500
12/22/00,86.501,87.9153,86.3962,87.8001,10182900
12/26/00,87.7373,88.7431,87.3601,88.7431,4665300
12/27/00,88.345,89.6755,88.0097,89.3927,4854100
12/28/00,89.0574,89.7699,88.9107,89.6651,8358700
12/29/00,89.8956,90.0423,87.9678,87.9678,8774600
1/2/01,88.5126,88.6174,85.537,86.3752,8737500
1/3/01,86.04,91.1948,85.5999,90.5243,19431600
1/4/01,90.4824,90.8385,89.1832,89.5498,9219000
1/5/01,89.4974,89.6023,86.6267,86.6267,12911400
1/8/01,87.0877,87.2972,85.6209,87.2972,6625300
1/9/01,87.8734,88.1773,86.7838,87.0667,5702400
1/10/01,86.501,88.5964,86.3752,88.5964,8746100
1/11/01,87.9049,89.5079,87.9049,88.6802,7245100
1/12/01,88.9736,89.6651,88.0306,88.5126,7244000
1/16/01,88.5126,89.3089,88.1878,89.0784,8542200
1/17/01,90.4195,90.5556,88.9422,89.487,7851400
1/18/01,89.4765,90.9957,89.1413,90.3775,8107000
1/19/01,91.3205,91.3205,89.7699,89.8642,7782500
1/22/01,90.0213,91.0481,89.5603,90.4614,7050900
1/23/01,90.168,91.6348,89.9585,91.1738,8463100
1/24/01,91.3624,92.0749,91.09,91.4463,6199900
1/25/01,91.3624,92.033,90.9643,91.2157,10818300
1/26/01,90.629,91.2786,90.1575,91.111,7136800
1/29/01,90.8595,91.7983,90.7724,91.5971,6705900
1/30/01,91.396,92.4823,91.054,92.4018,7069100
1/31/01,92.1336,93.0053,91.5971,91.8788,9706900
2/1/01,91.9324,92.5024,91.3624,92.489,8239100
2/2/01,92.1336,92.5292,90.3566,90.3902,8276600
2/5/01,90.3902,91.1546,90.3566,91.054,4352900
2/6/01,90.7254,91.6642,90.6718,90.7858,7106700
2/7/01,90.3365,90.7925,89.6391,90.3164,5748700
2/8/01,90.3902,90.7925,89.2502,89.2636,5943300
2/9/01,89.4179,89.4179,88.0164,88.4053,9913000
2/12/01,88.3114,89.5184,88.3114,89.4179,5804400
2/13/01,89.6525,89.9677,88.5126,88.6869,6587600
2/14/01,88.9485,88.9485,87.6141,88.5528,8400100
2/15/01,89.0759,89.5318,88.5059,89.4111,5929800
2/16/01,87.8421,88.0365,86.7021,87.4397,6434900
2/20/01,87.8689,87.9359,85.8975,86.0919,5760000
2/21/01,85.7634,86.3937,84.154,84.2345,10910800
2/22/01,84.724,84.8514,82.4911,84.3619,21281600
2/23/01,83.8724,84.1809,81.673,83.7919,20173000
2/26/01,84.3552,85.5756,83.4835,85.5756,11503700
2/27/01,85.0258,85.7231,84.1607,84.7844,11415000
2/28/01,84.9922,85.0526,82.6587,83.1147,14825800
3/1/01,83.1817,83.5505,81.6395,83.5505,14672000
3/2/01,82.1424,84.2546,82.0083,82.8867,12564300
3/5/01,83.2488,83.6712,83.0208,83.6444,5293200
3/6/01,84.724,85.6628,84.1473,84.543,6917000
3/7/01,85.0928,85.1867,84.3284,85.1465,6371700
3/8/01,84.8916,85.3208,84.5832,85.2403,6055000
3/9/01,84.5564,84.5564,82.5514,82.7191,10020300
3/12/01,82.0351,82.1424,78.9573,79.1786,13972900
3/13/01,80.0637,80.7611,78.8097,80.4794,12888000
3/14/01,78.4879,79.9899,77.6162,78.8902,19883400
3/15/01,79.4267,79.7016,78.6958,78.9103,10370300
3/16/01,78.7573,78.9389,77.1974,77.3319,58514600
3/19/01,77.8362,79.1339,77.2041,78.9053,10067800
3/20/01,79.2751,79.6516,76.7267,76.7872,15083900
3/21/01,76.7738,77.5,75.2407,75.4828,19004600
3/22/01,75.3214,75.7114,72.6453,74.7163,28624800
3/23/01,76.1484,77.0965,74.9718,76.9755,12861700
3/26/01,77.7958,78.1791,77.1705,77.9572,9943800
3/27/01,77.742,79.7794,77.5134,79.5508,12880700
3/28/01,78.6027,78.6363,77.2579,77.352,10953300
3/29/01,77.1234,78.3337,75.4021,77.6479,12060300
3/30/01,77.695,78.4615,76.9889,78.4615,9183600
4/2/01,78.1992,78.9254,76.5183,76.7872,10561000
4/3/01,76.6393,76.7536,74.0035,74.2254,12836000
4/4/01,74.3464,75.3752,73.4925,74.5347,14884300
4/5/01,76.1821,77.6546,75.6442,77.3588,21522800
4/6/01,76.646,76.9217,75.3483,76.1821,14937800
4/9/01,76.6527,77.3184,75.8324,77.0293,9034300
4/10/01,77.6277,79.1742,77.4394,78.4346,17873600
4/11/01,79.8668,80.008,78.0917,78.4884,12722300
4/12/01,78.1992,79.9744,77.9706,79.9138,9233200
4/16/01,79.5373,79.9407,78.6094,79.0734,7350000
4/17/01,78.8784,80.4585,78.6834,80.1895,10924700
4/18/01,81.3998,84.7215,81.151,83.3767,32481600
4/19/01,83.5448,84.6139,83.0943,84.4861,13809900
4/20/01,83.9818,84.318,83.1481,83.7129,7626700
4/23/01,83.1413,83.3027,81.9714,82.1933,8451800
4/24/01,82.3815,83.1413,81.4267,81.7495,10044700
4/25/01,81.6419,83.1548,81.3259,82.8186,8249000
4/26/01,83.1951,84.197,83.0405,83.1884,10590400
4/27/01,83.9953,84.6139,83.5111,84.5735,7938700
4/30/01,85.024,85.5754,83.8272,85.1652,10766900
5/1/01,84.0961,85.4947,83.7801,85.4275,10578000
5/2/01,85.6695,85.8578,84.7215,85.2728,9572900
5/3/01,84.8089,84.8223,83.5246,84.1903,9926200
5/4/01,83.1413,85.6292,83.0001,85.6225,12145300
